 ,#genre#
電影原聲台CMusic,https://4gtv.iill.top/4gtv/218
TRACE Urban,https://4gtv.iill.top/4gtv/78
MTV Live HD 音樂頻道,https://4gtv.iill.top/4gtv/213
Mezzo Live HD,https://4gtv.iill.top/4gtv/79
CLASSICA 古典樂,https://4gtv.iill.top/4gtv/80
INULTRA,https://4gtv.iill.top/4gtv/444
車迷TV,https://4gtv.iill.top/4gtv/160
MagellanTV頻道 (麥哲倫頻道) ,https://4gtv.iill.top/4gtv/450
CI 罪案偵查頻道,https://4gtv.iill.top/4gtv/215
影迷數位紀實台,https://4gtv.iill.top/4gtv/445
4GTV 综艺点播,#genre#
HahaTai 哈哈台-FastTV飛速看,https://4gtv.iill.top/4gtv/466
天才衝衝衝-FastTV飛速看,https://4gtv.iill.top/4gtv/343
一字千金-FastTV飛速看,https://4gtv.iill.top/4gtv/344
食尚玩家-FastTV飛速看,https://4gtv.iill.top/4gtv/348
威廉沈歡樂送-FastTV飛速看,https://4gtv.iill.top/4gtv/435
我的成長-FastTV飛速看,https://4gtv.iill.top/4gtv/390
綜藝大集合-FastTV飛速看,https://4gtv.iill.top/4gtv/345
女人我最大-FastTV飛速看,https://4gtv.iill.top/4gtv/347
姊妹亮起來-FastTV飛速看,https://4gtv.iill.top/4gtv/377
中國傳奇故事-FastTV飛速看,https://4gtv.iill.top/4gtv/458
武媚娘傳奇-FastTV飛速看,https://4gtv.iill.top/4gtv/455
花千骨-FastTV飛速看,https://4gtv.iill.top/4gtv/397
台灣傳奇-FastTV飛速看,https://4gtv.iill.top/4gtv/419
女力故事館-FastTV飛速看,https://4gtv.iill.top/4gtv/456
怪獸之王-FastTV飛速看,https://4gtv.iill.top/4gtv/438
以家人之名-FastTV飛速看,https://4gtv.iill.top/4gtv/383
加油喜事-FastTV飛速看,https://4gtv.iill.top/4gtv/384
去有風的地方-FastTV飛速看,https://4gtv.iill.top/4gtv/386
別打擾我種田-FastTV飛速看,https://4gtv.iill.top/4gtv/398
5566偶像劇-FastTV飛速看,https://4gtv.iill.top/4gtv/399
不敗愛情偶像劇-FastTV飛速看,https://4gtv.iill.top/4gtv/401
小資女孩向前衝-FastTV飛速看,https://4gtv.iill.top/4gtv/420
以愛為營-FastTV飛速看,https://4gtv.iill.top/4gtv/424
新兵日記-FastTV飛速看,https://4gtv.iill.top/4gtv/382
台灣靈異事件-FastTV飛速看,https://4gtv.iill.top/4gtv/326
戲說台灣-FastTV飛速看,https://4gtv.iill.top/4gtv/342
飛龍在天-FastTV飛速看,https://4gtv.iill.top/4gtv/417
花系列戲劇-FastTV飛速看,https://4gtv.iill.top/4gtv/329






極速 | 港台,#genre#
民視,rtmp://f13h.mine.nu/sat/tv051
華視,rtmp://f13h.mine.nu/sat/tv111
台視,rtmp://f13h.mine.nu/sat/tv071
中視,rtmp://f13h.mine.nu/sat/tv091
緯來體育,http://mtw.so/5yqGDH
緯來體育,rtmp://f13h.mine.nu/sat/tv721
緯來育樂,rtmp://f13h.mine.nu/sat/tv701
緯來日本,rtmp://f13h.mine.nu/sat/tv771
東森超視,rtmp://f13h.mine.nu/sat/tv331
愛爾達體育1,tvbus://4C7iijGJx8QDyQ35Ns5b7iJWC5w8war2epeg1hD1CHw7jRWjzX
愛爾達體育2,tvbus://37fFPRRDFH94asBuL1qdYHY991fCcoV9kjac8gzUD8qsiDpFRy
愛爾達體育3,tvbus://3zW4ZaVHLUzmkAD7a831uurBVxv99oKA44T12Mw8BUyc4MEYu4
愛爾達體育4,tvbus://4HFCtUh7QyRnm67tGqd6TraHq4JeuGavJ4rpGMQbNkHn4xbmcG
八大戲劇,http://61.221.215.25:8800/hls/39/index.m3u8
八大戲劇,http://61.221.215.25:8800/hls/41/index.m3u8
中華小當家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC電影台,http://61.221.215.25:8800/hls/43/index.m3u8
中天娛樂,http://61.221.215.25:8800/hls/47/index.m3u8
緯來精彩,http://61.221.215.25:8800/hls/48/index.m3u8
49號,http://61.221.215.25:8800/hls/49/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
八大綜合,http://61.221.215.25:8800/hls/56/index.m3u8
翡翠台,http://58.250.155.2:8180/hls/TV00000000000000000032@HHZT
TVB經典,https://short-link.me/LgOi
TVB星河,https://short-link.me/NAEZ
翡翠台備,https://short-link.me/LgOZ
無綫新聞,https://short-link.me/NADV
中天新聞,https://short-link.me/LgP6
PopC,http://e2stw.ensl.cn/b9
翡翠台,http://zsntlqj.xicp.net:8895/bysid/1.m3u8
ViuTVsix,http://zsntlqj.xicp.net:8895/bysid/96.m3u8
ViuTV,http://zsntlqj.xicp.net:8895/bysid/99.m3u8
明珠台,http://zsntlqj.xicp.net:8896/bysid/2.m3u8
TVB Plus,http://zsntlqj.xicp.net:8896/bysid/82.m3u8
無綫新聞,http://zsntlqj.xicp.net:8896/bysid/83.m3u8
鳳凰衛視香港台,http://zsntlqj.xicp.net:8896/bysid/85.m3u8
翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
華麗翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbjade
星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
千禧經典,http://cdn9.1689.us.kg/smt1.1.php?id=Tvbclassic
ASTRO AOD,http://cdn9.1689.us.kg/smt1.1.php?id=Aodhd
TVB plus,http://cdn5.1678520.xyz/live/?id=tvbp
TVB plus備,http://117.27.251.40/libof.kesx.top/live/5658kwkojtz.m3u8
popc,http://gweid.serv00.net/tui.php?id=popc
tvbplus,http://gweid.serv00.net/tui.php?id=tvbplus
翡翠台備,http://gweid.serv00.net/tui.php?id=fct
viutv,http://gweid.serv00.net/tui.php?id=viutv
無線 新聞,http://live.cooltv.top/tv/tvb.php?id=2
鳳凰中文,http://122.224.232.226:8888/udp/233.50.200.191:5140
鳳凰資訊,http://122.224.232.226:8888/udp/233.50.200.192:5140
香港C+,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/index.m3u8
香港32台,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream02/streamPlaylist.m3u8
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
TVB星河3,https://v2h.jdshipin.com/xinghe/xinghe.stream/chunklist.m3u8
功夫,https://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8
娛樂新聞,https://v2h.jdshipin.com/enew/enew.stream/chunklist.m3u8
TVBJ1,https://bcovlive-a.akamaihd.net/e360e3f9895c4fae99b133ec8dc20f01/us-west-2/5324042807001/4a3bca5b047b4564b18bb12dfa26ba62/playlist_ssaiM.m3u8

翡翠台,http://124.244.149.194:65530/bysid/1.m3u8
ViuTVsix,http://124.244.149.194:65530/bysid/96.m3u8
ViuTV,http://124.244.149.194:65530/bysid/99.m3u8
明珠台,http://124.244.149.194:65531/bysid/2.m3u8
TVB Plus,http://124.244.149.194:65531/bysid/82.m3u8
無綫新聞,http://124.244.149.194:65531/bysid/83.m3u8
